"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/16/2017","AQS","410010004","3","5.4","ug/m3 LC","23","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/17/2017","AQS","410010004","3","8.4","ug/m3 LC","35","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/18/2017","AQS","410010004","3","5.8","ug/m3 LC","24","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/19/2017","AQS","410010004","3","4.3","ug/m3 LC","18","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/20/2017","AQS","410010004","3","3.9","ug/m3 LC","16","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/21/2017","AQS","410010004","3","3.7","ug/m3 LC","15","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/22/2017","AQS","410010004","3","3.2","ug/m3 LC","13","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/23/2017","AQS","410010004","3","3.2","ug/m3 LC","13","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/24/2017","AQS","410010004","3","7.9","ug/m3 LC","33","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/25/2017","AQS","410010004","3","5.7","ug/m3 LC","24","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/26/2017","AQS","410010004","3","6.3","ug/m3 LC","26","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/27/2017","AQS","410010004","3","4.9","ug/m3 LC","20","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"02/28/2017","AQS","410010004","3","4.3","ug/m3 LC","18","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"03/01/2017","AQS","410010004","3","8.1","ug/m3 LC","34","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"03/02/2017","AQS","410010004","3","6.5","ug/m3 LC","27","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"03/03/2017","AQS","410010004","3","4.3","ug/m3 LC","18","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
